point,sample_count,mean_counts,std_counts,std_mm
1,5,272996,0,0
2,5,257926,0,0
3,5,299396,0,0
4,5,327112,0,0
5,5,305753,0,0
6,5,299760,0,0
7,5,307450,0,0
8,5,284958,0,0
9,5,293631,0,0
10,5,283547,0,0
11,5,239319,0,0
12,5,222532,0,0
13,5,237829,0,0
14,5,271335,0,0
15,5,278853,0,0
16,5,274016,0,0
17,5,266883,0,0
18,5,233019,0,0
19,5,218823,0,0
20,5,248800,0,0
21,5,241899,0,0
22,5,237056,0,0
23,5,228856,0,0
24,5,228107,0,0
25,5,218945,0,0
26,5,223628,0,0
27,5,229451,0,0
28,5,242921,0,0
29,5,249978,0,0
30,5,254740,0,0
31,5,261240,0,0
32,5,259584,0,0
33,5,277523,0,0
34,5,282800,0,0
35,5,290493,0,0
36,5,280668,0,0
37,5,282936,0,0
38,5,278337,0,0
39,5,272357,0,0
40,5,266135,0,0
41,5,263525,0,0
42,5,261330,0,0
43,5,260896,0,0
44,5,256681,0,0
45,5,258182,0,0
46,5,257532,0,0
47,5,254530,0,0
48,5,251472,0,0
49,5,249356,0,0
50,5,280734,0,0
51,5,254326,0,0
52,5,253047,0,0
53,5,253371,0,0
54,5,248743,0,0
55,5,250987,0,0
56,5,250648,0,0
57,5,251902,0,0
58,5,251062,0,0
59,5,251560,0,0
60,5,281415,0,0
61,5,282287,0,0
62,5,270245,0,0
63,5,266996,0,0
64,5,287592,0,0
65,5,308881,0,0
66,5,246278,0,0
67,5,249721,0,0
68,5,258932,0,0
69,5,290945,0,0
70,5,311539,0,0
71,5,322533,0,0
72,5,295676,0,0
73,5,283987,0,0
74,5,267047,0,0
75,5,266383,0,0
76,5,271190,0,0
77,5,273244,0,0
78,5,273179,0,0
79,5,273095,0,0
80,5,272973,0,0
81,5,272946,0,0
82,5,272944,0,0
