build,HE3-V3-CRAIG-MDH-ANALYTIC-TWOSTAGE-LASER-PRIOR-FINAL-WRITEBACK-20260826-R7.2.2a
calibration_input_source,公共MDH（./Config/RobotType/HE3_GY-cfg.txt）（R7.2固定公共输入）
writeback_baseline_source,controller_readback
rope_bias_mm,2.76444213988568
rope_bias_written_to_mdh,0
d6_is_rope_calibration_parameter,0
d6_structural_repair_required,1
d6_structural_repair_applied,1
d7_written,0
parameter,index,role,before,calibration_candidate,readback
D,1,held_not_written,0,0,0
D,2,rope_calibration,49,48.5275952474209,48.528
D,3,rope_calibration,493,492.55869805696,492.559
D,4,rope_calibration,-117.009,-120.102135873088,-120.102
D,5,rope_calibration,318.331,316.969656941053,316.97
D,6,structure_repair_not_calibration,93,93,0
D,7,held_not_written,93,93,93
AlphaLegacy,1,rope_calibration,90,90.1447571670992,90.145
AlphaLegacy,2,rope_calibration,-90,-89.9736528521426,-89.974
AlphaLegacy,3,rope_calibration,90,89.9482452056409,89.948
AlphaLegacy,4,rope_calibration,-90,-89.8503681517985,-89.85
AlphaLegacy,5,rope_calibration,90,89.7197098078963,89.72
AlphaLegacy,6,rope_calibration,-90,-90.0849848968176,-90.085
AlphaLegacy,7,held_not_written,0,0,0
ZeroCount,1,held_not_written,0,0,0
ZeroCount,2,rope_calibration,-718,-672,-672
ZeroCount,3,rope_calibration,-486,-635,-635
ZeroCount,4,rope_calibration,-618,-701,-701
ZeroCount,5,rope_calibration,-2303,-1972,-1972
ZeroCount,6,rope_calibration,14,158,158
ZeroCount,7,held_not_written,0,0,0
