point,sample_count,mean_counts,std_counts,std_mm
1,5,274827,0,0
2,5,259749,0,0
3,5,301195,0,0
4,5,328906,0,0
5,5,307557,0,0
6,5,301565,0,0
7,5,309257,0,0
8,5,286760,0,0
9,5,295438,0,0
10,5,285346,0,0
11,5,241121,0,0
12,5,224324,0,0
13,5,239619,0,0
14,5,273114,0,0
15,5,280635,0,0
16,5,275797,0,0
17,5,268659,0,0
18,5,234795,0,0
19,5,220625,0,0
20,5,250571,0,0
21,5,243670,0,0
22,5,238833,0,0
23,5,230630,0,0
24,5,229886,0,0
25,5,220735,0,0
26,5,225424,0,0
27,5,231250,0,0
28,5,244717,0,0
29,5,251773,0,0
30,5,256534,0,0
31,5,263036,0,0
32,5,261377,0,0
33,5,279310,0,0
34,5,284586,0,0
35,5,292279,0,0
36,5,282460,0,0
37,5,284724,0,0
38,5,280133,0,0
39,5,274152,0,0
40,5,267927,0,0
41,5,265322,0,0
42,5,263130,0,0
43,5,262697,0,0
44,5,258476,0,0
45,5,259984,0,0
46,5,259325,0,0
47,5,256323,0,0
48,5,253262,0,0
49,5,251117,0,0
50,5,282518,0,0
51,5,256107.6,0.489897948557,0.00171930212872
52,5,254808,0,0
53,5,255136,0,0
54,5,250491,0,0
55,5,252747,0,0
56,5,252398,0,0
57,5,253653,0,0
58,5,252811,0,0
59,5,253302,0,0
60,5,283170,0,0
61,5,284050,0,0
62,5,272009,0,0
63,5,268757,0,0
64,5,289358,0,0
65,5,310645,0,0
66,5,248071,0,0
67,5,251516,0,0
68,5,260734,0,0
69,5,292763,0,0
70,5,313355,0,0
71,5,324344,0,0
72,5,297477,0,0
73,5,285780,0,0
74,5,268846,0,0
75,5,268181,0,0
76,5,272991,0,0
77,5,275041,0,0
78,5,274976,0,0
79,5,274893,0,0
80,5,274772,0,0
81,5,274745,0,0
82,5,274743,0,0
