point,sample_count,mean_counts,std_counts,std_mm
1,20,241679,0,0
2,20,226661,0,0
3,20,268079,0,0
4,20,295520,0,0
5,20,274003,0,0
6,20,268005,0,0
7,20,275877,0,0
8,20,253259,0,0
9,20,262164,0,0
10,20,252084,0,0
11,20,207521,0,0
12,20,192477,0,0
13,20,206571,0,0
14,20,239319,0,0
15,20,246946,0,0
16,20,242003,0,0
17,20,234555,0,0
18,20,200709,0,0
19,20,187692.35,0.476969600708,0.00167392995265
20,20,217390,0,0
21,20,210939,0,0
22,20,206220,0,0
23,20,198062,0,0
24,20,197596,0,0
25,20,188778,0,0
26,20,192418,0,0
27,20,197868,0,0
28,20,211329,0,0
29,20,218266,0,0
30,20,222897,0,0
31,20,229535,0,0
32,20,228005,0,0
33,20,246068,0,0
34,20,251415,0,0
35,20,259157,0,0
36,20,249544,0,0
37,20,251867.7,0.458257569496,0.0016082598775
38,20,247386,0,0
39,20,241441,0,0
40,20,235206,0,0
41,20,232754,0,0
42,20,230617,0,0
43,20,230223,0,0
44,20,226104,0,0
45,20,227728,0,0
46,20,227089,0,0
47,20,224371,0,0
48,20,221453.2,0.4,0.00140380430968
49,20,219993,0,0
50,20,251616,0,0
51,20,224189.1,0.3,0.00105285323226
52,20,223013,0,0
53,20,223452,0,0
54,20,219016,0,0
55,20,221510,0,0
56,20,221159,0,0
57,20,222746,0,0
58,20,222264,0,0
59,20,223531,0,0
60,20,253479,0,0
61,20,241649,0,0
62,20,241654,0,0
63,20,241661,0,0
64,20,241663.05,0.217944947177,0.0007648801403
65,20,241664,0,0
66,20,241664,0,0
67,20,241664,0,0
68,20,241661.5,0.5,0.0017547553871
69,20,241652,0,0
70,20,200719,0,0
71,20,187694.2,0.4,0.00140380430968
72,20,217398,0,0
73,20,200723,0,0
74,20,187689,0,0
75,20,217395,0,0
76,20,200726.25,0.433012701892,0.00151966274266
77,20,187685.15,0.357071421427,0.00125314600066
78,20,217389,0,0
79,20,253984,0,0
80,20,240951,0,0
81,20,236627,0,0
82,20,255496,0,0
83,20,276404,0,0
84,20,214818,0,0
85,20,218210,0,0
86,20,227468,0,0
87,20,259623,0,0
88,20,280244,0,0
89,20,294997,0,0
90,20,265004,0,0
91,20,252885,0,0
92,20,234822,0,0
93,20,233608,0,0
94,20,237994,0,0
95,20,241528,0,0
96,20,241504,0,0
97,20,241443,0,0
98,20,241354,0,0
99,20,241319,0,0
100,20,241299,0,0
