build,HE3-V3-V1-ANALYTIC-20260821-R6.1
status,1
iterations,2
active_count,13
rank,13
condition,40527.0507670321
mae_before_mm,48.237333533482
mae_after_mm,47.3717034446039
max_before_mm,150.412562471487
max_after_mm,148.624259193942
terminal_structure_d7_mm,92.7026
tool_offset_mm,49
terminal_effective_mm,141.7026
q6_sensitivity_rms_mm_per_deg,0
alpha6_sensitivity_rms_mm_per_deg,1.6680575695686
q7_sensitivity_rms_mm_per_deg,0
q6_alpha6_column_cosine,0
q6_candidate_active,0
iteration,mae_mm,max_mm,step_scale,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,alpha1_deg,alpha2_deg,alpha3_deg,alpha4_deg,alpha5_deg,alpha6_deg,alpha7_deg,q0_1_deg,q0_2_deg,q0_3_deg,q0_4_deg,q0_5_deg,q0_6_deg,q0_7_deg
0,48.237333533482,150.412562471487,0,0.0006,50.5064,491.1552,-118.6827,317.8316,-0.7692,141.7026,90,-90,90,-90,90,-90,0,0,0,0,0,0,0,0
1,47.5431296383677,148.971596087935,0.015625,0.0006,45.8134878334582,487.676962103104,-122.983157867512,318.575313310438,-0.7692,141.7026,90,-89.9618338014472,89.1978218254698,-89.7769873974926,89.9280624371211,-89.8353556207257,0,0,-0.0710823298528039,-0.340465815603379,-0.0441220267065058,-0.872381904654392,0,0
2,47.3717034446039,148.624259193942,0.00390625,0.0006,44.6910268136108,486.840440589803,-124.083713545864,318.649333029943,-0.7692,141.7026,90,-89.9537614992834,89.004496267152,-89.7295197723161,89.9021065265707,-89.7452004258566,0,0,-0.0861691017483031,-0.42364458701216,-0.0577751760807683,-1.09636799165603,0,0
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,6e-07
3,-0.124083713545864
4,0.318649333029943
5,0.1417026
6,-0
7,0.0861691017483031
8,0.42364458701216
9,0.0577751760807683
10,1.09636799165603
11,-0
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,sample_std_mm,residual_before_mm,residual_after_mm
1,911.212887,973.712887,0,1.74532922222222e-05,0,-1.5707963,0,1.74532922222222e-05,0,0,59.3590073002687,58.3076837580552
2,858.419316,920.919316,-0.211167382596667,-0.0486074188388889,0.0884532849822222,-1.48077221871778,-0.309080351963333,-0.0693593832911111,-0.0878598730466667,0,42.6938232706791,41.5204103078451
3,1004.334246,1066.834246,-0.0839503355888889,0.159645263956667,0.134756869247778,-1.75759888665444,-0.684064335357778,-0.0510159731655556,0.282464081324444,0,64.897113499381,63.5107076826871
4,1101.681056,1164.181056,-0.00417133684111111,0.403013970703333,0.101560707441111,-1.91373603887444,-0.849940424637778,-0.130445906068889,0.485794935713333,0,52.7750035466403,51.4978406005038
5,1026.956552,1089.456552,-0.191288082755556,0.317911717827778,0.121928699464444,-1.73040665737222,-0.474048870047778,-0.185615762783333,0.773564817873333,0,33.800685406606,33.0268028174867
6,1006.004773,1068.504773,-0.290859114883333,0.253247270144444,0.217625100718889,-1.70009028878222,-0.396695878918889,-0.0412246762288889,1.20490548185333,0,36.9052063271755,35.807454577478
7,1032.603355,1095.103355,-0.200677953971111,0.265883453713333,0.188530462584444,-1.80992385673667,-0.256720475296667,0.0277856412177778,0.782082024477778,0,63.0048281291695,61.9408921492524
8,953.604268,1016.104268,-0.123743841855556,0.101595614025556,0.121911246172222,-1.62963134808111,-0.426069769728889,0.114807756237778,1.20528945428222,0,54.4784319873756,53.2811855942636
9,983.2105,1045.7105,0.00804596771444444,0.172717779831111,-0.0494277235733333,-1.85160231856333,-0.258361084765556,0.13131857068,0.83786274642,0,74.0125902552896,72.9968525598655
10,947.746894,1010.246894,0.117041777642222,-0.00418879013333333,-0.00905825866333333,-1.63265076763556,-0.0704763939933333,0.145996789438889,0.498518385743333,0,76.0807841981885,74.7559480446244
11,791.875483,854.375483,0.229912218443333,-0.266930651246667,-0.286775044503333,-1.01171499024556,-0.0704589407011111,-0.196785869805556,0.923261705263333,0,15.5672925520576,15.2184719561486
12,730.950376,793.450376,0.10335839654,-0.505394982878889,-0.286809951087778,-1.04513804485111,-0.445198578004444,-0.00509636132888889,1.42272256878667,0,34.1061247831196,33.3488495864783
13,786.067242,848.567242,0.103375849832222,-0.25195572652,-0.223751206288889,-1.30557607139111,-0.0478569272733333,0.09251990207,1.06438902617222,0,34.6911219164467,33.7508574293675
14,904.741349,967.241349,0.170675744641111,0.0703891275322222,-0.223716299704444,-1.59395681877889,-0.46212827146,0.17215927448,1.45286440445444,0,45.7457545742005,45.1356614509075
15,930.683653,993.183653,0.453837957654444,0.158074467656667,-0.461325420017778,-1.72072008018889,-0.171583315836667,0.0621686268955556,0.395718494554444,0,64.4334264778809,63.3962974099634
16,913.037833,975.537833,0.628074173908889,0.158074467656667,-0.654358831995555,-1.74204800328444,-0.229877311858889,0.134285630357778,-0.108978356635556,0,64.6043514301312,63.3576623426991
17,889.552186,952.052186,-0.284261770423333,0.158074467656667,-0.15330971888,-1.40416971915444,0.853308910036667,-0.406330096225556,-0.108978356635556,0,11.1843867142487,11.1671674674452
18,770.235839,832.735839,-0.445687270186667,-0.117844629084444,-0.15330971888,-1.08651980071,1.31826461483667,-0.771592595852222,-1.05901341216778,0,27.2694645464534,26.9264596603247
19,719.214571,781.714571,-0.515517892367778,-0.38248889905,0.214762760794444,-1.08651980071,1.31826461483667,-0.582939960222222,-1.25408885933556,0,-3.63189572514533,-3.4343983988564
20,826.177441,888.677441,-0.35044465453,-0.107477373504444,0.189298407442222,-1.40411735927778,1.53438873242444,-0.0903731471266667,-1.45303893737667,0,-63.7168381290938,-62.9019720317511
21,801.207272,863.707272,-0.558173738558889,-0.182596343228889,0.301191463878889,-1.44158957767889,1.47569331068111,-0.116902151304444,-1.51569625645444,0,-55.7369181123347,-55.2247989788356
22,782.99993,845.49993,-0.743265902575555,-0.240401647068889,0.371091899228889,-1.42612596077,1.36540595712889,-0.228655581403333,-1.60566797786,0,-33.5903819302096,-33.4348295385751
23,753.365621,815.865621,-0.859417562314444,-0.349083297736667,0.4932300382,-1.34008123011444,1.42387448607333,-0.275639844065556,-1.63238896825222,0,-29.5977470268274,-29.3558006698439
24,750.979154,813.479154,-0.892700990582222,-0.452005361971111,0.680573676913333,-1.31618767306222,1.36282286988,-0.251676473844444,-1.75656914241333,0,-32.658519749358,-31.9866338780526
25,717.207131,779.707131,-0.943158458396667,-0.570129243731111,0.69083621274,-1.21207878495667,1.35353771841778,-0.215216546392222,-1.80556053368111,0,-18.4643622148851,-18.1391347666925
26,735.196884,797.696884,-0.98064813009,-0.404724393341111,0.69083621274,-1.23712425929556,1.31878821360333,-0.271032174918889,-1.84196810125667,0,-20.4211749981754,-20.1119152180727
27,756.110058,818.610058,-1.01342541288333,-0.3125884637,0.69083621274,-1.26560803220222,1.25853944885222,-0.257278980647778,-1.88586313119556,0,-17.9339396585411,-17.7613310992042
28,804.042956,866.542956,-1.04723243991778,-0.189228594273333,0.69083621274,-1.38984056624,1.34964563425222,-0.311314373367778,-1.95792777478111,0,-27.3821340192946,-26.8169135312522
