build,HE3-V3-V1-ANALYTIC-20260821-R6.1
status,-5
iterations,0
active_count,0
rank,0
condition,0
mae_before_mm,0
mae_after_mm,0
max_before_mm,0
max_after_mm,0
terminal_structure_d7_mm,92.7026
tool_offset_mm,49
terminal_effective_mm,141.7026
q6_sensitivity_rms_mm_per_deg,0
alpha6_sensitivity_rms_mm_per_deg,0
q7_sensitivity_rms_mm_per_deg,0
q6_alpha6_column_cosine,0
q6_candidate_active,0
iteration,mae_mm,max_mm,step_scale,d1_mm,d2_mm,d3_mm,d4_mm,d5_mm,d6_mm,d7_mm,alpha1_deg,alpha2_deg,alpha3_deg,alpha4_deg,alpha5_deg,alpha6_deg,alpha7_deg,q0_1_deg,q0_2_deg,q0_3_deg,q0_4_deg,q0_5_deg,q0_6_deg,q0_7_deg
result_slot,value_before_gui_unit_conversion
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
point,rope_raw_mm,rope_with_fixed_offset_mm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad,sample_std_mm,residual_before_mm,residual_after_mm
1,21.478206,83.978206,0,1.74532922222222e-05,0,-1.5707963,0,-1.74532922222222e-05,0,0,0,0
2,-31.129361,31.370639,-0.211184835888889,-0.0486074188388889,0.0884532849822222,-1.48075476542556,-0.309080351963333,-0.06942919646,-0.0878424197544445,0,0,0
3,114.761002,177.261002,-0.0839677888811111,0.159645263956667,0.134756869247778,-1.75759888665444,-0.684064335357778,-0.0510683330422222,0.282464081324444,0,0,0
4,212.139398,274.639398,-0.00417133684111111,0.403013970703333,0.101560707441111,-1.91371858558222,-0.849975331222222,-0.130498265945556,0.485812389005556,0,0,0
5,137.337685,199.837685,-0.191288082755556,0.317911717827778,0.121911246172222,-1.73040665737222,-0.474031416755556,-0.18566812266,0.773599724457778,0,0,0
6,116.35783,178.85783,-0.290859114883333,0.253264723436667,0.217607647426667,-1.70009028878222,-0.396695878918889,-0.0412421295211111,1.20492293514556,0,0,0
7,143.075735,205.575735,-0.200730313847778,0.265900907005556,0.188547915876667,-1.80992385673667,-0.256720475296667,0.02780309451,0.78209947777,0,0,0
8,63.925739,126.425739,-0.123743841855556,0.101595614025556,0.121911246172222,-1.62963134808111,-0.426069769728889,0.114807756237778,1.20528945428222,0,0,0
9,93.76009,156.26009,0.00804596771444444,0.172717779831111,-0.0494451768655556,-1.85161977185556,-0.258343631473333,0.13131857068,0.837897653004445,0,0,0
10,58.110479,120.610479,0.117006871057778,-0.00418879013333333,-0.00905825866333333,-1.63265076763556,-0.0704589407011111,0.145961882854444,0.498518385743333,0,0,0
11,-97.725837,-35.225837,0.229877311858889,-0.266930651246667,-0.286809951087778,-1.01171499024556,-0.0704589407011111,-0.196785869805556,0.923261705263333,0,0,0
12,-158.598301,-96.098301,0.10335839654,-0.505412436171111,-0.286809951087778,-1.04513804485111,-0.445198578004444,-0.00509636132888889,1.42272256878667,0,0,0
13,-103.467397,-40.967397,0.10335839654,-0.251973179812222,-0.223716299704444,-1.30561097797556,-0.0478918338577778,0.0924849954855556,1.06440647946444,0,0,0
14,15.143539,77.643539,0.170658291348889,0.0703891275322222,-0.223716299704444,-1.59395681877889,-0.462163178044444,0.172124367895556,1.45286440445444,0,0,0
15,41.131466,103.631466,0.453820504362222,0.158074467656667,-0.461307966725556,-1.72072008018889,-0.171583315836667,0.0621337203111111,0.395718494554444,0,0,0
16,23.46108,85.96108,0.628074173908889,0.158074467656667,-0.65439373858,-1.74208290986889,-0.229859858566667,0.134285630357778,-0.108978356635556,0,0,0
17,0.189514000000005,62.689514,-0.284279223715556,0.158074467656667,-0.15330971888,-1.40413481257,0.853308910036667,-0.406312642933333,-0.108960903343333,0,0,0
18,-119.102267,-56.602267,-0.445722176771111,-0.117844629084444,-0.15330971888,-1.08651980071,1.31826461483667,-0.771644955728889,-1.05897850558333,0,0,0
19,-170.162139,-107.662139,-0.51553534566,-0.382471445757778,0.214762760794444,-1.08651980071,1.31826461483667,-0.583009773391111,-1.25408885933556,0,0,0
