"Field","Mean","Median","Min","Max","Span"
"d2_mm","48.476025","48.59955","48.0382","48.7291","0.690899999999999"
"d3_mm","492.60525","492.56","492.244","493.015","0.770999999999958"
"d4_mm","-120.345875","-120.2305","-121.686","-119.888","1.798"
"d5_mm","317.0595","316.988","316.395","317.74","1.34500000000003"
"d7_mm","93","93","93","93","0"
"alpha1_deg","90.132725","90.1495","89.9467","90.2534","0.306699999999992"
"alpha2_deg","-90.055725","-90.0866","-90.2473","-89.6388","0.608499999999992"
"alpha3_deg","89.97261625","89.9715","89.85713","90.0522","0.195070000000001"
"alpha4_deg","-89.8612625","-89.8232","-90.0959","-89.6343","0.461600000000004"
"alpha5_deg","89.9082","89.84385","89.5417","90.4366","0.894899999999993"
"alpha6_deg","-89.8848125","-89.85085","-90.4595","-89.5067","0.952800000000011"
"alpha7_deg","-0.00347582","-0.00087909","-0.0103772","0","0.0103772"
"q1_deg","0","0","0","0","0"
"q2_deg","0.171661376953125","0.157585144042969","-0.039825439453125","0.43121337890625","0.471038818359375"
"q3_deg","-0.19775390625","-0.173377990722656","-0.564422607421875","0.191574096679688","0.755996704101563"
"q4_deg","-0.188999176025391","-0.205307006835938","-0.318603515625","-0.0652313232421875","0.253372192382813"
"q5_deg","0.0724411010742188","0.177497863769531","-0.59600830078125","0.3021240234375","0.89813232421875"
"q6_deg","0.177497863769531","0.006866455078125","-0.308990478515625","0.770416259765625","1.07940673828125"
"q7_deg","0","0","0","0","0"
