point,sample_count,mean_counts,std_counts,std_mm
1,20,255314,0,0
2,20,240332,0,0
3,20,281902,0,0
4,20,309654,0,0
5,20,288373,0,0
6,20,282395,0,0
7,20,289995,0,0
8,20,267438,0,0
9,20,275940,0,0
10,20,265757,0,0
11,20,221362,0,0
12,20,204014,0,0
13,20,219728,0,0
14,20,253516,0,0
15,20,260917,0,0
16,20,255893,0,0
17,20,249261,0,0
18,20,215277,0,0
19,20,200735,0,0
20,20,231162,0,0
21,20,224042,0,0
22,20,218901,0,0
23,20,210476,0,0
24,20,209809,0,0
25,20,200219,0,0
26,20,205327,0,0
27,20,211248,0,0
28,20,224934,0,0
29,20,231923,0,0
30,20,236628,0,0
31,20,243576,0,0
32,20,241832,0,0
33,20,260045,0,0
34,20,265401,0,0
35,20,273253,0,0
36,20,263442,0,0
37,20,265801,0,0
38,20,261195,0,0
39,20,255190,0,0
40,20,248952,0,0
41,20,246344,0,0
42,20,244084,0,0
43,20,243624,0,0
44,20,239352,0,0
45,20,240781,0,0
46,20,240074,0,0
47,20,236971,0,0
48,20,233775,0,0
49,20,231303,0,0
50,20,262264,0,0
51,20,236829.75,0.433012701892,0.00151966274266
52,20,235491,0,0
53,20,235805,0,0
54,20,231051,0,0
55,20,233265,0,0
56,20,232886,0,0
57,20,234014,0,0
58,20,233018,0,0
59,20,233143,0,0
60,20,262656,0,0
61,20,255552,0,0
62,20,255539,0,0
63,20,255505.3,0.458257569496,0.0016082598775
64,20,255478.45,0.497493718553,0.00174595956536
65,20,255462,0,0
66,20,255459,0,0
67,20,255459,0,0
68,20,255460,0,0
69,20,255487,0,0
70,20,215295,0,0
71,20,200747,0,0
72,20,231205,0,0
73,20,215278,0,0
74,20,200742,0,0
75,20,231186,0,0
76,20,215270,0,0
77,20,200731,0,0
78,20,231187,0,0
79,20,263625,0,0
80,20,252022,0,0
81,20,249088,0,0
82,20,270068,0,0
83,20,291471,0,0
84,20,228258,0,0
85,20,231834,0,0
86,20,241178,0,0
87,20,273428,0,0
88,20,294114,0,0
89,20,309298.1,0.3,0.00105285323226
90,20,277839,0,0
91,20,266205,0,0
92,20,249421.25,0.433012701892,0.00151966274266
93,20,248808,0,0
94,20,253656,0,0
95,20,255568,0,0
96,20,255506,0,0
97,20,255420,0,0
98,20,255297,0,0
99,20,255274,0,0
100,20,255273,0,0
