point,sample_count,mean_counts,std_counts,std_mm
1,5,264230,0,0
2,5,249173,0,0
3,5,290627,0,0
4,5,318310,0,0
5,5,297013,0,0
6,5,291018,0,0
7,5,298687,0,0
8,5,276196,0,0
9,5,284873,0,0
10,5,274786,0,0
11,5,230557,0,0
12,5,213777,0,0
13,5,229020,0,0
14,5,262527,0,0
15,5,270045,0,0
16,5,265207,0,0
17,5,258072,0,0
18,5,224247,0,0
19,5,210058,0,0
20,5,240006,0,0
21,5,233110,0,0
22,5,228266,0,0
23,5,220068,0,0
24,5,219343,0,0
25,5,210183,0,0
26,5,214865,0,0
27,5,220682,0,0
28,5,234149,0,0
29,5,241210,0,0
30,5,245964,0,0
31,5,252461,0,0
32,5,250811,0,0
33,5,268737,0,0
34,5,274006,0,0
35,5,281694,0,0
36,5,271887,0,0
37,5,274152,0,0
38,5,269562,0,0
39,5,263578,0,0
40,5,257352,0,0
41,5,254748,0,0
42,5,252552.8,0.4,0.00140380430968
43,5,252126,0,0
44,5,247906,0,0
45,5,249421,0,0
46,5,248759,0,0
47,5,245755,0,0
48,5,242700,0,0
49,5,240585,0,0
50,5,271958,0,0
51,5,245557,0,0
52,5,244261,0,0
53,5,244593,0,0
54,5,239964,0,0
55,5,242211,0,0
56,5,241867,0,0
57,5,243124,0,0
58,5,242279,0,0
59,5,242776,0,0
60,5,272580,0,0
61,5,273469,0,0
62,5,261427,0,0
63,5,258177,0,0
64,5,278773,0,0
65,5,300069,0,0
66,5,237497,0,0
67,5,240943,0,0
68,5,250119,0,0
69,5,282170,0,0
70,5,302768,0,0
71,5,313749,0,0
72,5,286893,0,0
73,5,275202,0,0
74,5,258266,0,0
75,5,257600.6,0.489897948557,0.00171930212872
76,5,262409,0,0
77,5,264461,0,0
78,5,264399,0,0
79,5,264312,0,0
80,5,264191,0,0
81,5,264168,0,0
82,5,264166,0,0
