point,sample_count,mean_counts,std_counts,std_mm
1,5,265803,0,0
2,5,250745,0,0
3,5,292193,0,0
4,5,319877,0,0
5,5,298554,0,0
6,5,292560,0,0
7,5,300225,0,0
8,5,277735,0,0
9,5,286413,0,0
10,5,276332,0,0
11,5,232097,0,0
12,5,215313,0,0
13,5,230610,0,0
14,5,264108,0,0
15,5,271622,0,0
16,5,266782,0,0
17,5,259649,0,0
18,5,225794,0,0
19,5,211605,0,0
20,5,241567,0,0
21,5,234663,0,0
22,5,229824.4,0.489897948557,0.00171930212872
23,5,221625,0,0
24,5,220887,0,0
25,5,211725,0,0
26,5,216412,0,0
27,5,222235,0,0
28,5,235701,0,0
29,5,242762,0,0
30,5,247519,0,0
31,5,254022,0,0
32,5,252361,0,0
33,5,270285,0,0
34,5,275562,0,0
35,5,283253,0,0
36,5,273445,0,0
37,5,275708,0,0
38,5,271117,0,0
39,5,265139,0,0
40,5,258909,0,0
41,5,256304,0,0
42,5,254106,0,0
43,5,253680,0,0
44,5,249465,0,0
45,5,250978,0,0
46,5,250316,0,0
47,5,247313,0,0
48,5,244255,0,0
49,5,242137,0,0
50,5,273509,0,0
51,5,247118,0,0
52,5,245819,0,0
53,5,246154,0,0
54,5,241512,0,0
55,5,243765,0,0
56,5,243418,0,0
57,5,244674,0,0
58,5,243829,0,0
59,5,244321,0,0
60,5,274150,0,0
61,5,275027,0,0
62,5,262981,0,0
63,5,259731,0,0
64,5,280336,0,0
65,5,301623,0,0
66,5,239048,0,0
67,5,242498,0,0
68,5,251708,0,0
69,5,283739,0,0
70,5,304316,0,0
71,5,315303,0,0
72,5,288450,0,0
73,5,276756,0,0
74,5,259821,0,0
75,5,259161,0,0
76,5,263971,0,0
77,5,266021,0,0
78,5,265957,0,0
79,5,265872,0,0
80,5,265749,0,0
81,5,265724,0,0
82,5,265722,0,0
