Time:21:24:53:823  [1] 0
Time:21:24:53:828  [2] 0
Time:21:24:54:36  [3] 0
Time:21:24:54:40  [4] 0
Time:21:24:54:41  [5] 0
Time:21:24:54:42  [6] 0
Time:21:24:54:43  [6] 1
Time:21:24:54:44  [7] 0
Time:21:24:54:46  [8] 0
Time:21:24:54:47  [9] 0
Time:21:24:54:48  [10] 0
Time:21:24:59:925  [1] System.Login 0
Time:21:24:59:929  [2] Thread.Abort "MacroThread"
Time:21:24:59:931  [3] Thread.Start "MacroThread"
Time:21:24:59:934  [4] Robot.Attached 1
Time:21:24:59:936  [5] System.ClearVariables
Time:21:24:59:938  [6] Robot.PowerEnable 1,1
Time:21:24:59:940  [7] Robot.Home 1
Time:21:24:59:942  [8] LocationJ RopeEncLoc
Time:21:24:59:944  [9] Profile Rope = 50,0,50,50,2,2
Time:21:24:59:946  [10] Profile.Set 1,Rope
Time:21:25:38:963  [11] 0
Time:21:25:38:965  [12] 0
Time:21:25:39:155  [13] 0
Time:21:25:39:229  [14] 0
Time:21:25:39:239  [14] 1
Time:21:25:39:243  [15] 0
Time:21:25:39:248  [16] 0
Time:21:25:39:253  [17] 0
Time:21:25:42:954  [11] Thread.Abort "MacroThread"
Time:21:25:42:958  [12] Thread.Start "MacroThread"
Time:21:25:42:962  [13] Robot.Attached 1
Time:21:25:42:966  [14] Robot.PowerEnable 1,1
Time:21:25:42:970  [15] Robot.Speed 1,20
Time:21:25:45:482  [16] RopeEncLoc=0.000,-90.000,0.000,-90.000,0.000,0.000
Time:21:25:45:487  [17] Move.Joint RopeEncLoc
Time:21:25:52:713  [17] 1
Time:21:26:6:256  [18] 0 -0.001,-89.999,-0.001,-90.000,-0.001,-0.002,0.000,0.000,0.000
Time:21:26:9:332  [19] 0
Time:21:26:9:353  [20] 0
Time:21:26:12:269  [18] Robot.WhereAngle 1
Time:21:26:15:300  [19] RopeEncLoc=-15.849,-123.510,-42.626,-35.954,11.610,-27.289
Time:21:26:15:807  [20] Move.Joint RopeEncLoc
Time:21:26:19:862  [20] 1
Time:21:26:29:862  [21] 0 -15.851,-123.513,-42.625,-35.952,11.610,-27.291,0.000,0.000,0.000
Time:21:26:29:945  [22] 0
Time:21:26:29:971  [23] 0
Time:21:26:36:11  [21] Robot.WhereAngle 1
Time:21:26:36:13  [22] RopeEncLoc=-23.632,-133.427,-97.031,3.661,18.712,4.742
Time:21:26:36:14  [23] Move.Joint RopeEncLoc
Time:21:26:40:515  [23] 1
Time:21:26:50:546  [24] 0 -23.634,-133.428,-97.031,3.663,18.712,4.741,0.000,0.000,0.000
Time:21:26:50:619  [25] 0
Time:21:26:50:645  [26] 0
Time:21:26:56:775  [24] Robot.WhereAngle 1
Time:21:26:56:780  [25] RopeEncLoc=-28.900,-153.204,-79.152,-10.784,11.784,22.080
Time:21:26:56:784  [26] Move.Joint RopeEncLoc
Time:21:26:57:708  [26] 1
Time:21:27:7:717  [27] 0 -28.900,-153.206,-79.152,-10.783,11.781,22.080,0.000,0.000,0.000
Time:21:27:7:804  [28] 0
Time:21:27:7:828  [29] 0
Time:21:27:13:966  [27] Robot.WhereAngle 1
Time:21:27:13:971  [28] RopeEncLoc=-15.292,-150.627,-39.670,-126.105,1.371,22.080
Time:21:27:13:976  [29] Move.Joint RopeEncLoc
Time:21:27:25:146  [29] 1
Time:21:27:35:158  [30] 0 -15.292,-150.627,-39.668,-126.105,1.368,22.078,0.000,0.000,0.000
Time:21:27:35:263  [31] 0
Time:21:27:35:289  [32] 0
Time:21:27:41:293  [30] Robot.WhereAngle 1
Time:21:27:41:297  [31] RopeEncLoc=-6.763,-139.177,8.777,-140.351,15.364,44.393
Time:21:27:41:301  [32] Move.Joint RopeEncLoc
Time:21:27:45:172  [32] 1
Time:21:27:55:181  [33] 0 -6.765,-139.178,8.779,-140.349,15.363,44.393,0.000,0.000,0.000
Time:21:27:55:264  [34] 0
Time:21:27:55:289  [35] 0
Time:21:28:1:535  [33] Robot.WhereAngle 1
Time:21:28:1:540  [34] RopeEncLoc=3.718,-142.975,69.503,-109.225,19.549,88.769
Time:21:28:1:545  [35] Move.Joint RopeEncLoc
Time:21:28:6:541  [35] 1
Time:21:28:16:561  [36] 0 3.716,-142.977,69.504,-109.223,19.549,88.767,0.000,0.000,0.000
Time:21:28:16:649  [37] 0
Time:21:28:16:672  [38] 0
Time:21:28:22:809  [36] Robot.WhereAngle 1
Time:21:28:22:811  [37] RopeEncLoc=28.775,-124.314,40.529,-92.485,-13.949,112.967
Time:21:28:22:812  [38] Move.Joint RopeEncLoc
Time:21:28:25:99  [38] 1
Time:21:28:35:120  [39] 0 28.773,-124.315,40.529,-92.484,-13.950,112.966,0.000,0.000,0.000
Time:21:28:35:220  [40] 0
Time:21:28:35:241  [41] 0
Time:21:28:41:523  [39] Robot.WhereAngle 1
Time:21:28:41:524  [40] RopeEncLoc=66.226,-91.967,-29.814,-93.041,-45.529,133.772
Time:21:28:41:525  [41] Move.Joint RopeEncLoc
Time:21:28:47:567  [41] 1
Time:21:28:57:595  [42] 0 66.226,-91.968,-29.813,-93.039,-45.531,133.770,0.000,0.000,0.000
Time:21:28:57:701  [43] 0
Time:21:28:57:726  [44] 0
Time:21:29:3:791  [42] Robot.WhereAngle 1
Time:21:29:3:795  [43] RopeEncLoc=110.240,-96.061,-49.709,-104.664,-60.053,170.827
Time:21:29:3:799  [44] Move.Joint RopeEncLoc
Time:21:29:7:117  [44] 1
Time:21:29:17:152  [45] 0 110.240,-96.061,-49.710,-104.663,-60.055,170.825,0.000,0.000,0.000
Time:21:29:17:231  [46] 0
Time:21:29:17:249  [47] 0
Time:21:29:23:501  [45] Robot.WhereAngle 1
Time:21:29:23:503  [46] RopeEncLoc=131.653,-78.990,-76.124,-119.374,-83.263,197.097
Time:21:29:23:504  [47] Move.Joint RopeEncLoc
Time:21:29:25:29  [47] 1
Time:21:29:35:75  [48] 0 131.653,-78.991,-76.123,-119.373,-83.265,197.095,0.000,0.000,0.000
Time:21:29:35:173  [49] 0
Time:21:29:35:210  [50] 0
Time:21:29:41:207  [48] Robot.WhereAngle 1
Time:21:29:41:211  [49] RopeEncLoc=140.280,-69.727,-94.343,-120.894,-112.486,158.574
